Alimento,Quantidade,Calorias (kcal),Proteínas (g),Carboidratos (g),Gorduras (g)
MAMAO,100,36.00,0.50,8.30,0.10
MAMAO PAPAYA,100,36.00,0.50,8.30,0.10
MANGA,100,65.00,0.50,15.40,0.20
MANGABA,100,48.00,0.70,10.50,0.30
MANJAR BRANCO,100,176.62,3.28,21.57,8.57
MANTEIGA COM SAL,100,733.00,0.60,0.40,81.00
MARACUJA,100,100.00,2.20,21.20,0.70
MARGARINA COM SAL,100,733.00,0.60,0.40,81.00
MARRON GLACE,100,244.00,1.10,59.00,0.40
MASSA DE PASTEL FRITA,100,320.00,6.00,29.70,19.70
MASSA PARA PASTEL,100,239.00,6.00,29.70,10.70
MAXIXE COZIDO,100,6.00,0.16,1.15,0.07
MAXIXE REFOGADO,100,53.00,0.23,1.63,5.08
MC CHICKEN MC DONALD'S,100,500.00,26.00,43.00,25.00
MC FISH MC DONALD'S,100,450.00,16.00,42.00,25.00
MEL DE ABELHA,100,313.00,0.20,78.00,0.00
MELADO,100,294.00,0.50,72.60,0.20
MELANCIA,100,24.00,0.50,5.30,0.10
MELAO,100,28.00,0.50,6.20,0.10
MILHO VERDE,100,132.00,3.30,27.80,0.80
MILHO VERDE ENLATADO,100,94.00,2.10,20.00,0.60
MILK-SHAKE DE CHOCOLATE,100,116.00,3.24,19.00,3.00
MILKSHAKE BAUNILHA PEQ MC DONALD'S,100,360.00,11.00,59.00,9.00
MILKSHAKE CHOCOLATE PEQ MC DONALD'S,100,360.00,11.00,60.00,9.00
MILKSHAKE MORANGO PEQ MC DONALD'S,100,360.00,11.00,60.00,9.00
MINGAU,100,136.00,3.60,22.70,3.40
MISTO QUENTE,100,333.00,13.18,34.00,15.99
MIUDOS DE GALINHA,100,160.00,23.40,0.00,7.40
MOLHO A BOLONHESA,100,185.00,6.60,10.20,13.10
MOLHO A CAMPANHA,100,286.00,0.41,3.40,30.11
MOLHO BRANCO,100,200.00,6.66,14.80,12.73
MOLHO DE TOMATE,100,66.00,0.71,4.16,5.19
MOLHO INGLES,100,100.00,1.50,8.00,6.90
MOLHO ROQUEFORT,100,519.00,4.81,7.38,52.20
MORANGO,100,40.00,0.80,8.50,0.30
MORTADELA,100,272.00,18.40,2.80,20.80
MOSTARDA CONDIMENTO,100,84.00,4.70,6.40,4.40
MOSTARDA FOLHA COZIDA,100,27.00,2.30,4.00,0.25
MOUSSE DE CHOCOLATE,100,318.00,8.87,29.22,18.35
MOUSSE DE MARACUJA,100,285.00,5.17,32.05,15.07
MUCILON DE ARROZ,100,382.00,6.60,87.50,0.60
MUCILON DE MILHO,100,381.00,7.10,85.70,1.10
MUSLI KELLOGG`S,100,375.00,10.00,77.50,5.00
NABO,100,25.00,1.70,4.20,0.10
NAN 1 PO,100,509.00,12.50,56.20,26.00
NAN 1 RECONSTITUIDO,100,67.00,1.65,7.40,3.40
NAN H.A. PO,100,511.00,12.50,56.70,26.00
NAN H.A. RECONSTITUIDO,100,67.00,1.64,7.43,3.41
NESCAU,100,392.00,19.20,50.20,12.70
NESPERA,100,49.00,0.20,10.70,0.60
NESTOGENO 1 PO,100,445.00,17.80,60.80,14.50
NESTOGENO 1 RECONSTITUIDO,100,64.00,2.60,8.70,2.10
NESTOGENO SOY PO,100,464.00,16.60,57.50,18.60
NESTOGENO SOY RECONSTITUIDO,100,67.00,2.39,8.28,2.68
NESTON,100,378.00,11.20,78.90,1.90
NHOQUE,100,141.00,3.62,25.36,2.84
NINHO SOLEIL MACA/BANANA,100,161.00,6.89,17.33,7.33
NINHO SOLEIL MORANGO,100,158.00,9.11,19.55,5.78
NOVOMILKE BANANA PO,100,424.00,12.00,70.50,10.50
NOVOMILKE BANANA RECONSTITUIDO,100,42.00,1.20,7.05,1.05
NOVOMILKE CHOCOLATE PO,100,430.00,14.00,66.50,12.00
NOVOMILKE CHOCOLATE RECONST,100,43.00,1.40,6.65,1.20
NOZ,100,698.00,14.80,15.80,64.00
OLEO VEGETAL,100,900.00,0.00,0.00,100.00
OMELETE,100,170.00,11.20,2.40,12.90
OVO DE CODORNA,100,156.00,13.10,1.00,11.10
OVO DE GALINHA CLARA COZIDA,100,51.00,12.80,0.00,0.00
OVO DE GALINHA COZIDO,100,158.00,12.80,0.70,11.50
OVO DE GALINHA FRITO,100,210.00,13.80,0.00,17.20
OVO DE GALINHA GEMA COZIDA,100,363.00,16.40,0.24,32.90
OVO DE GALINHA MEXIDO,100,195.00,12.93,0.82,15.55
OVOMALTINE SABOR CHOCOLATE,100,398.00,6.20,88.00,2.30
OVOMALTINE TIPO SUICO,100,392.00,12.10,77.30,3.80
OVOS NEVADOS,100,174.68,4.01,28.78,4.82
PACOCA,100,382.00,19.33,67.96,3.70
PAÇOCA DE AMENDOIM,100,550.33,13.62,58.87,28.92
PAÇOCA DE CARNE-DE-SOL,100,297.50,18.17,25.71,13.54
PAIO,100,227.00,19.50,3.30,15.10
PALMITO EM CONSERVA,100,22.00,1.60,3.70,0.10
PAMONHA,100,258.00,4.40,42.90,7.60
PANETONE,100,272.00,9.00,52.20,3.00
PANQUECA DE CARNE,100,286.00,17.63,22.01,14.13
PAO ARABE,100,269.00,9.30,57.40,0.20
